participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.role,participant.choice,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.demand_min,session.config.llm_user,session.config.demand_max,session.config.llm_temp,session.config.llm_reader,session.config.production_cost,session.config.production_cost_high,session.config.production_cost_low,session.config.room,session.config.llm_pass,session.config.https://ollama2.src-automating.src.surf-hosted.nl,session.config.https://ollama7.src-automating.src.surf-hosted.nl,session.config.baseline,session.config.https://ollama3.src-automating.src.surf-hosted.nl,session.config.delegation_cost_2,session.config.delegation_cost_1,session.config.market_price_low,session.config.market_price,session.config.participation_fee,session.config.https://ollama1.src-automating.src.surf-hosted.nl,session.config.timeout_experiment,session.config.https://ollama5.src-automating.src.surf-hosted.nl,session.config.force_retailer_first,session.config.class_a,session.config.force_supplier_first,session.config.https://ollama6.src-automating.src.surf-hosted.nl,session.config.class_c,session.config.real_world_currency_per_point,session.config.market_price_high,session.config.https://ollama4.src-automating.src.surf-hosted.nl,session.config.name,session.config.class_b,session.config.llm_model,session.first_mover_role,session.llm_hosts,intro.1.player.id_in_group,intro.1.player.role,intro.1.player.payoff,intro.1.player.comprehension_answer_a,intro.1.player.comprehension_answer_b,intro.1.player.comprehension_check,intro.1.player.comprehension_answer,intro.1.player.comprehension_attempts,intro.1.group.id_in_subsession,intro.1.group.retailer_choice,intro.1.group.supplier_choice,intro.1.subsession.round_number,experiment.1.player.id_in_group,experiment.1.player.role,experiment.1.player.payoff,experiment.1.player.other_id,experiment.1.player.is_active,experiment.1.player.price_proposed,experiment.1.player.price_accepted,experiment.1.player.quantity_proposed,experiment.1.player.quantity_accepted,experiment.1.player.profit,experiment.1.player.transaction_cost,experiment.1.player.base_cost,experiment.1.player.bonus_delegee,experiment.1.player.delegation_cost,experiment.1.player.company_profit,experiment.1.player.offers,experiment.1.player.chat_data,experiment.1.player.llm_interactions,experiment.1.player.bot_vars,experiment.1.player.time_start,experiment.1.player.time_end,experiment.1.group.id_in_subsession,experiment.1.group.retailer_choice,experiment.1.group.supplier_choice,experiment.1.group.market_price,experiment.1.group.production_cost,experiment.1.group.demand,experiment.1.group.optimal_offer,experiment.1.group.class_name,experiment.1.subsession.round_number
1,gukbz4s2,,0,0,20,,,,0,,,0.0,Retailer Manager,,apzsv6fl,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,1,0,1,1,1.0,12,1,Full_Experiment,1,llama3,Retailer Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",1,Retailer Manager,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,1,Retailer Manager,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,4,70,"{'profit': 110.87, 'offer': [8.43, 64]}",class_b,1
2,zhk3d4ml,,0,0,20,,,,0,,,0.0,Supplier Manager,,apzsv6fl,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,1,0,1,1,1.0,12,1,Full_Experiment,1,llama3,Retailer Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",2,Supplier Manager,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,2,Supplier Manager,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,4,70,"{'profit': 110.87, 'offer': [8.43, 64]}",class_b,1
3,tr94of1q,,0,0,20,,,,0,,,0.0,Retailer,,apzsv6fl,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,1,0,1,1,1.0,12,1,Full_Experiment,1,llama3,Retailer Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",3,Retailer,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,3,Retailer,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,4,70,"{'profit': 110.87, 'offer': [8.43, 64]}",class_b,1
4,ya7w6vga,,0,0,20,,,,0,,,0.0,Supplier,,apzsv6fl,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,1,0,1,1,1.0,12,1,Full_Experiment,1,llama3,Retailer Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",4,Supplier,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,4,Supplier,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,4,70,"{'profit': 110.87, 'offer': [8.43, 64]}",class_b,1
1,p8jomfq2,,0,0,20,,,,0,,,0.0,Retailer Manager,,1p7ve3lr,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",1,Retailer Manager,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,1,Retailer Manager,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,77,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
2,0nko7rqk,,0,0,20,,,,0,,,0.0,Supplier Manager,,1p7ve3lr,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",2,Supplier Manager,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,2,Supplier Manager,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,77,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
3,0864odqp,,0,0,20,,,,0,,,0.0,Retailer,,1p7ve3lr,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",3,Retailer,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,3,Retailer,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,77,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
4,7y352e1b,,0,0,20,,,,0,,,0.0,Supplier,,1p7ve3lr,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",4,Supplier,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,4,Supplier,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,77,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
1,djrm5u73,,0,2,20,intro,InstructionsManager,2026-01-26 09:44:18.465975,1,,,0.0,Retailer Manager,,streekfz,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",1,Retailer Manager,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,1,Retailer Manager,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,41,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
2,oxdvhg10,,0,2,20,intro,InstructionsManager,2026-01-26 09:44:19.189674,1,,,0.0,Supplier Manager,,streekfz,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",2,Supplier Manager,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,2,Supplier Manager,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,41,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
3,7sq4fpyc,,0,1,20,intro,Instructions,2026-01-26 09:44:19.849818,1,,,0.0,Retailer,,streekfz,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",3,Retailer,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,3,Retailer,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,41,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
4,tgzaewwb,,0,1,20,intro,Instructions,2026-01-26 09:44:20.397807,1,,,0.0,Supplier,,streekfz,,,,,1,0,otree,100,0.1,offer_reader_v3,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",4,Supplier,0.0,,,,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,,,1,4,Supplier,0.0,-1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,,,11,5,41,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
1,qmzurwb0,,0,20,20,experiment,Results,2026-01-28 09:17:37.763999,1,,,1.17,Retailer Manager,AJ,j1xw5cbs,,,,,0,0,otree,100,0.1,offer_reader_v2,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",1,Retailer Manager,0.0,42.5,40.0,,"{""1"": [[35.0, 40.0]], ""2"": [[35.0, 40.0], [70.0, 60.0]], ""3"": [[50.0, 40.0]], ""4"": [[42.5, 40.0]], ""5"": []}","{""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1}",1,AJ,AJ,1,1,Retailer Manager,1.17,-1,0,,,,,46.8084,30.0,10.0,1.7716,40.0,46.8084,[],[],,{},,,1,AJ,AJ,11,5,43,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
2,cywddroc,,0,20,20,experiment,Results,2026-01-28 09:18:13.945647,1,,,1.68,Supplier Manager,AJ,j1xw5cbs,,,,,0,0,otree,100,0.1,offer_reader_v2,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",2,Supplier Manager,0.0,42.5,40.0,,"{""1"": [[35.0, 40.0]], ""2"": [[50.0, 40.0]], ""3"": [[50.0, 40.0]], ""4"": [[42.5, 40.0]], ""5"": []}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1,AJ,AJ,1,2,Supplier Manager,1.68,-1,0,,,,,67.2316,30.0,10.0,2.1884,40.0,67.2316,[],[],,{},,,1,AJ,AJ,11,5,43,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
3,678t32ax,,0,20,20,experiment,Results,2026-01-28 09:18:45.546413,1,,,1.77,Retailer,,j1xw5cbs,,,,,0,0,otree,100,0.1,offer_reader_v2,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",3,Retailer,0.0,,,60.0,"{""1"": [40.0], ""2"": [-400.0, 50.0, 20.0], ""3"": [400.0], ""4"": [420.0], ""5"": [60.0]}","{""1"": 1, ""2"": 3, ""3"": 1, ""4"": 1, ""5"": 1}",1,AJ,AJ,1,3,Retailer,1.77,-1,0,,8.94,,55,88.58,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,AJ,AJ,11,5,43,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
4,ug0s6x5x,,0,20,20,experiment,Results,2026-01-28 09:19:19.073831,1,,,2.19,Supplier,,j1xw5cbs,,,,,0,0,otree,100,0.1,offer_reader_v2,-1,5,3,-1,ped+GlubbomOnEc4,1,1,0,1,10,20,10,-1,0.0,1,300,1,0,0,1,1,1,1.0,12,1,1_C_Supplier_First_AI,0,llama3,Supplier Manager,"['https://ollama1.src-automating.src.surf-hosted.nl', 'https://ollama2.src-automating.src.surf-hosted.nl', 'https://ollama3.src-automating.src.surf-hosted.nl', 'https://ollama4.src-automating.src.surf-hosted.nl', 'https://ollama5.src-automating.src.surf-hosted.nl', 'https://ollama6.src-automating.src.surf-hosted.nl', 'https://ollama7.src-automating.src.surf-hosted.nl']",4,Supplier,0.0,,,20.0,"{""1"": [320.0, 270.0, 30.0], ""2"": [30.0, -210.0, -320.0], ""3"": [0.0], ""4"": [70.0], ""5"": [20.0]}","{""1"": 3, ""2"": 3, ""3"": 1, ""4"": 1, ""5"": 1}",1,AJ,AJ,1,4,Supplier,2.19,-1,0,,8.94,,55,109.42,0.0,0.0,0.0,0.0,0.0,[],[],,{},,,1,AJ,AJ,11,5,43,"{'profit': 81.48, 'offer': [8.94, 55]}",class_c,1
